run_id,ts_iso,model_id,model_display,tier,prompt_id,category,size,quality,latency_ms,n_retries,http_status,refused,error,local_path,image_width,image_height,image_bytes,raw_cost_usd,effective_cost_usd,watermark_suspected,response_truncated_note,vision_adherence_mean,vision_aesthetic_mean,vision_photoreal_mean,vision_text_mean,vision_anatomy_mean,vision_adherence_var,vision_aesthetic_var,vision_photoreal_var,vision_text_var,vision_anatomy_var,vision_mean_judge_a,vision_mean_judge_b,vision_quality_score,vision_quality_variance,vision_judge_notes,auto_vqa_score,auto_clip_score,auto_aesthetic_score,auto_backend_notes
3362684d-0010,2026-05-20T14:40:02Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-021,compositional_spatial,1024x1024,auto,50833,0,200,False,,images/openai_gpt-image-2__T2I-021.png,1024,1024,1262101,0.03,0.03,False,,5.0,4.5,5.0,,,0,0.25,0,,,4.667,5.0,4.833,0.139,"[anthropic/claude-opus-4.7@t0.0]: Accurate placement, materials, and lighting. | [anthropic/claude-opus-4.7@t0.3]: Accurate composition and materials with convincing studio light. | [openai/gpt-5.5@t0.0]: Accurately shows a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor with soft window-like studio lighting; highly polished and photorealistic. | [openai/gpt-5.5@t0.3]: Accurately shows a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor, with soft window-like studio lighting and convincing photographic realism.",,,,
3362684d-0011,2026-05-20T14:40:20Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-021,compositional_spatial,1024x1024,auto,17349,0,200,False,,images/openai_gpt-image-1.5__T2I-021.png,1024,1024,1364705,0.032,0.032,False,,5.0,5.0,5.0,,,0,0,0,,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Excellent prompt match with correct positioning, materials, and lighting. | [anthropic/claude-opus-4.7@t0.3]: Accurate composition with red cube left, blue glass sphere right, concrete floor, soft directional light. | [openai/gpt-5.5@t0.0]: Accurately depicts a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor, with soft window-like studio lighting and convincing photographic realism. | [openai/gpt-5.5@t0.3]: Accurately depicts a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor, with convincing soft window-style studio lighting and strong photorealism.",,,,
3362684d-0012,2026-05-20T14:40:34Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-021,compositional_spatial,1024x1024,auto,14740,0,200,False,,images/google_imagen-4-ultra__T2I-021.png,1024,1024,1170852,0.06,0.06,False,,5.0,4.5,5.0,,,0,0.25,0,,,4.667,5.0,4.833,0.139,"[anthropic/claude-opus-4.7@t0.0]: Accurate composition with correct placement, materials, lighting, and floor. | [anthropic/claude-opus-4.7@t0.3]: Accurate composition and materials; soft window light convincing. | [openai/gpt-5.5@t0.0]: Accurately shows a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor, with soft window light and a convincing photographic still-life look. | [openai/gpt-5.5@t0.3]: Excellent match: red wooden cube on the left and blue glass sphere on the right, both on a polished concrete floor with soft window light and a convincing photographic still-life look.",,,,
3362684d-0013,2026-05-20T14:40:42Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-021,compositional_spatial,1024x1024,auto,8082,0,200,False,,images/google_imagen-4-fast__T2I-021.png,1024,1024,1205567,0.02,0.02,False,,5.0,4.5,5.0,,,0,0.25,0,,,4.667,5.0,4.833,0.139,"[anthropic/claude-opus-4.7@t0.0]: Clean still life matching all attributes; soft directional light reads as window light. | [anthropic/claude-opus-4.7@t0.3]: Clear composition matching prompt; wood grain visible on cube, glass sphere convincing with caustics. | [openai/gpt-5.5@t0.0]: Accurately depicts a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor with soft studio window-like lighting. | [openai/gpt-5.5@t0.3]: All specified objects, positions, materials, floor, and soft studio lighting are accurately represented with a polished, photographic still-life look.",,,,
3362684d-0014,2026-05-20T14:40:59Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-021,compositional_spatial,1024x1024,auto,16459,0,200,False,,images/openai_gpt-image-1-mini__T2I-021.png,1024,1024,1274367,0.008,0.008,False,,5.0,4.5,4.5,,,0,0.25,0.25,,,4.333,5.0,4.667,0.222,"[anthropic/claude-opus-4.7@t0.0]: Clean composition matching prompt; sphere reflections suggest window light. Wood grain subtle but present. | [anthropic/claude-opus-4.7@t0.3]: Accurate placement and materials; soft window reflection visible in sphere. Cube grain reads slightly painted but acceptable. | [openai/gpt-5.5@t0.0]: Matches the prompt closely: red wooden cube on the left, blue glass sphere on the right, polished concrete floor, and soft window-like studio lighting. No in-image text or anatomy present. | [openai/gpt-5.5@t0.3]: Accurately depicts a red wooden cube on the left and a blue glass sphere on the right on a polished concrete floor, with soft window-like studio lighting and convincing photoreal still-life quality.",,,,
3362684d-0015,2026-05-20T14:41:56Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-031,multi_subject,1024x1024,auto,56728,0,200,False,,images/openai_gpt-image-2__T2I-031.png,1024,1024,1786817,0.03,0.03,False,,5.0,5.0,5.0,,5.0,0,0,0,,0,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: All prompt elements present and well-executed. | [anthropic/claude-opus-4.7@t0.3]: All elements present and correctly rendered. | [openai/gpt-5.5@t0.0]: Accurately shows a fluffy tabby Maine Coon on the left and a sleek black short-hair on the right, both on a windowsill looking outside toward a visible bird in warm afternoon light. | [openai/gpt-5.5@t0.3]: Strong match: left cat is a fluffy tabby Maine Coon, right cat is a sleek black short-hair, both are on the windowsill looking toward a visible bird outside in warm afternoon light.",,,,
3362684d-0016,2026-05-20T14:42:35Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-031,multi_subject,1024x1024,auto,38994,0,200,False,,images/openai_gpt-image-1.5__T2I-031.png,1024,1024,2115453,0.032,0.032,False,,5.0,5.0,4.25,,5.0,0,0,0.188,,0,4.875,4.75,4.812,0.152,"[anthropic/claude-opus-4.7@t0.0]: All prompt elements present and well composed with warm afternoon light. | [anthropic/claude-opus-4.7@t0.3]: Excellent adherence: fluffy tabby Maine Coon left, sleek black cat right, both on windowsill watching bird outside in warm afternoon light. | [openai/gpt-5.5@t0.0]: Matches the prompt very well: two cats on a windowsill, left fluffy tabby Maine Coon-like, right black short-hair, both looking toward a visible bird outside in warm afternoon light. Slight painterly softness keeps photorealism just below perfect. | [openai/gpt-5.5@t0.3]: Strong match: two cats on a windowsill, left is fluffy tabby Maine Coon-like, right is black short-hair, both facing the bird outside in warm afternoon light.",,,,
3362684d-0017,2026-05-20T14:42:52Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-031,multi_subject,1024x1024,auto,17807,0,200,False,,images/google_imagen-4-ultra__T2I-031.png,1024,1024,1604404,0.06,0.06,False,,5.0,5.0,5.0,,5.0,0,0,0,,0,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: All prompt elements present and well-rendered. | [anthropic/claude-opus-4.7@t0.3]: Excellent match to prompt with both cat types, windowsill, bird, and warm light. | [openai/gpt-5.5@t0.0]: Strong match: left cat appears fluffy Maine Coon/tabby, right cat is sleek black short-hair, both are on the windowsill looking outside toward a visible bird, with warm afternoon light. | [openai/gpt-5.5@t0.3]: Accurately shows a fluffy tabby Maine Coon on the left and a sleek black short-hair on the right, both on a windowsill looking toward a visible bird outside in warm afternoon light.",,,,
3362684d-0018,2026-05-20T14:42:59Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-031,multi_subject,1024x1024,auto,6289,0,200,False,,images/google_imagen-4-fast__T2I-031.png,1024,1024,1444053,0.02,0.02,False,,3.25,4.5,5.0,,4.5,0.188,0.25,0,,0.25,4.0,4.625,4.312,0.59,"[anthropic/claude-opus-4.7@t0.0]: Cats are well-rendered and match descriptions, but they're looking at each other rather than at the bird outside; bird appears inside on sill, not outside. | [anthropic/claude-opus-4.7@t0.3]: Cats are well-rendered and match descriptions, but neither is looking at the bird—they're looking at each other. Bird is present but has white tuxedo markings on black cat (minor). Lighting is nice. | [openai/gpt-5.5@t0.0]: Strong photorealistic image with afternoon light, two cats on a windowsill, a fluffy tabby Maine Coon-like cat on the left, and a black short-haired cat on the right. The bird is visible outside, but the left cat is looking toward the viewer rather than at the bird, and the right cat has a noticeable white chest patch rather than being fully black. | [openai/gpt-5.5@t0.3]: Strong match overall: correct left fluffy tabby Maine Coon-like cat, right black short-hair, both on windowsill, bird visible outside, warm afternoon light. Main miss is that",,,,
3362684d-0019,2026-05-20T14:43:36Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-031,multi_subject,1024x1024,auto,37245,0,200,False,,images/openai_gpt-image-1-mini__T2I-031.png,1024,1024,1866647,0.008,0.008,False,,5.0,5.0,5.0,,5.0,0,0,0,,0,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Both cats match descriptions, on windowsill, looking toward bird outside; warm afternoon light. | [anthropic/claude-opus-4.7@t0.3]: All prompt elements present and well-rendered with warm afternoon light. | [openai/gpt-5.5@t0.0]: Accurately shows a fluffy tabby Maine Coon on the left and a sleek black short-hair on the right, both on a windowsill looking toward a bird outside in warm afternoon light. | [openai/gpt-5.5@t0.3]: All key prompt elements are present: left fluffy tabby Maine Coon, right sleek black short-hair, both on the windowsill looking outside toward a bird, with warm afternoon light. Image is polished and photorealistic with clean animal anatomy.",,,,
3362684d-0020,2026-05-20T14:44:33Z,openai/gpt-image-2,GPT-Image-2,premium_high,T2I-041,style_artistic,1024x1024,auto,56807,0,200,False,,images/openai_gpt-image-2__T2I-041.png,1024,1024,2276751,0.03,0.03,False,,5.0,5.0,4.5,,,0,0,0.25,,,4.667,5.0,4.833,0.139,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible paper grain and pink/lavender dusk; cottage detail slightly tight for 'loose brushwork'. | [anthropic/claude-opus-4.7@t0.3]: Strong watercolor feel with visible paper grain and pink/lavender sky; brushwork slightly tight in places but overall convincing. | [openai/gpt-5.5@t0.0]: Excellent match: clear watercolor treatment with visible paper grain and loose brushwork, small wooden cottage, snowy pines, pink-lavender dusk sky, and warm yellow window light. Non-photoreal style is convincing. | [openai/gpt-5.5@t0.3]: Excellent match: clear watercolor treatment with visible paper grain and loose brushwork, snowy pine forest, wooden cottage, pink-lavender dusk sky, and warm yellow window light.",,,,
3362684d-0021,2026-05-20T14:45:15Z,openai/gpt-image-1.5,GPT-Image-1.5,premium_high,T2I-041,style_artistic,1024x1024,auto,42206,0,200,False,,images/openai_gpt-image-1.5__T2I-041.png,1024,1024,2590300,0.032,0.032,False,,5.0,5.0,5.0,,,0,0,0,,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible paper grain and loose brushwork; all prompt elements present. | [anthropic/claude-opus-4.7@t0.3]: Strong watercolor feel with visible paper texture, loose brushwork, accurate dusk palette and warm windows. | [openai/gpt-5.5@t0.0]: Excellent match: clear watercolor style with loose brushwork and visible paper grain, small wooden cottage in snowy pine forest, pink/lavender dusk sky, and warm yellow window light. Non-photoreal style is convincing and polished. | [openai/gpt-5.5@t0.3]: Strong watercolor rendering with visible loose brushwork and paper grain; small wooden cottage, snowy pine forest, pink-lavender dusk sky, and warm yellow window light are all clearly present.",,,,
3362684d-0022,2026-05-20T14:45:31Z,google/imagen-4-ultra,Imagen 4 Ultra,premium_high,T2I-041,style_artistic,1024x1024,auto,15658,0,200,False,,images/google_imagen-4-ultra__T2I-041.png,1024,1024,1885000,0.06,0.06,False,,5.0,4.5,5.0,,,0,0.25,0,,,4.667,5.0,4.833,0.139,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible paper border, pink/lavender sky, warm windows, snowy pines and wooden cabin all present. | [anthropic/claude-opus-4.7@t0.3]: Captures watercolor style with visible paper border, loose washes, pink/lavender sky, snowy pines, and warm yellow windows. | [openai/gpt-5.5@t0.0]: Excellent match: clear watercolor style with visible paper grain and loose brushwork, wooden cottage in snowy pine forest, pink/lavender dusk sky, and warm yellow window light; appropriately non-photorealistic. | [openai/gpt-5.5@t0.3]: Strong match: clear watercolor style with visible paper grain and loose brushwork, wooden cottage, snowy pine forest, pink-lavender dusk sky, and warm yellow window light. Non-photoreal as requested.",,,,
3362684d-0023,2026-05-20T14:45:40Z,google/imagen-4-fast,Imagen 4 Fast,budget_proprietary,T2I-041,style_artistic,1024x1024,auto,8949,0,200,False,,images/google_imagen-4-fast__T2I-041.png,1024,1024,1842250,0.02,0.02,False,,5.0,5.0,5.0,,,0,0,0,,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible paper grain and loose washes; all key elements present. | [anthropic/claude-opus-4.7@t0.3]: Strong watercolor feel with visible paper grain and loose brushwork; all prompt elements present. | [openai/gpt-5.5@t0.0]: Excellent match: clear watercolor style with visible loose brushwork and paper grain, wooden cottage in snowy pine forest, pink-lavender dusk sky, and warm yellow window light. Non-photoreal as requested. | [openai/gpt-5.5@t0.3]: Excellent match: clear watercolor treatment with visible paper grain and loose brushwork, wooden cottage in snowy pine forest, pink/lavender dusk sky, and warm yellow window light. Non-photoreal style is convincing.",,,,
3362684d-0024,2026-05-20T14:46:17Z,openai/gpt-image-1-mini,GPT-Image-1 Mini,budget_proprietary,T2I-041,style_artistic,1024x1024,auto,37699,0,200,False,,images/openai_gpt-image-1-mini__T2I-041.png,1024,1024,2341862,0.008,0.008,False,,5.0,5.0,5.0,,,0,0,0,,,5.0,5.0,5.0,0,"[anthropic/claude-opus-4.7@t0.0]: Strong watercolor feel with visible paper grain and loose washes; all prompt elements present. | [anthropic/claude-opus-4.7@t0.3]: Strong watercolor style with visible paper grain and loose brushwork; cottage, snowy pines, dusk pink/lavender sky, and warm window light all present. | [openai/gpt-5.5@t0.0]: Excellent match: convincing watercolor with visible loose brushwork and paper grain, small wooden cottage, snowy pine forest, pink-lavender dusk sky, and warm yellow window light. | [openai/gpt-5.5@t0.3]: Excellent match: clear watercolor treatment with visible paper grain and loose brushwork, wooden cottage in snowy pine forest, pink-lavender dusk sky, and warm yellow window light; appropriately non-photorealistic.",,,,
